banda_latitud,observaciones,media,mediana,desviacion,minimo,maximo
Templada sur,38188,0.088684626,0.1828203,0.9406014,-2.9055634,3.2167625
Subtropical sur,118237,-0.084868826,-0.19406378,0.9437775,-3.0482175,3.5947914
Tropical sur,267636,-0.02194606,-0.06646709,0.9277718,-3.3436952,3.7774518
Tropical norte,307545,-0.22207929,-0.2940729,0.8547006,-3.9683275,4.057275
Subtropical norte,223897,0.32692638,0.39207965,0.84474677,-3.4659057,4.0267463
Templada norte,662020,0.12004323,0.16391513,0.915882,-3.6869018,3.4176052
Polar norte,536498,0.3177784,0.38899168,0.8692522,-3.1877472,3.8758202
